,year,month,day,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,panqianliutong,panhouliutong,qianzongguben,houzongguben,fenshu,xingquanjia
0,1990,3,1,1,除权除息,0.0,3.559999942779541,0.0,1.0,,,,,,,
1,1991,4,3,5,股本变化,,,,,,0.0,2650.0,0.0,4850.01708984375,,
2,1991,5,2,1,除权除息,3.0,0.0,4.0,0.0,,,,,,,
3,1991,5,2,2,送配股上市,,,,,,2650.0,3949.072265625,4850.01708984375,8975.1640625,,
4,1991,8,17,1,除权除息,0.0,0.0,10.0,0.0,,,,,,,
5,1992,3,23,1,除权除息,2.0,0.0,5.0,0.0,,,,,,,
6,1993,5,24,1,除权除息,3.0,16.0,8.5,1.0,,,,,,,
7,1993,5,24,2,送配股上市,,,,,,3949.072265625,18812.984375,8975.1640625,26941.7890625,,
8,1993,6,30,2,送配股上市,,,,,,18812.984375,18004.330078125,26941.7890625,26125.369140625,,
9,1994,7,9,2,送配股上市,,,,,,18004.330078125,19804.76953125,26125.369140625,28737.91015625,,
10,1994,7,11,1,除权除息,5.0,5.0,5.0,1.0,,,,,,,
11,1994,7,14,2,送配股上市,,,,,,19804.76953125,29707.150390625,28737.91015625,43106.859375,,
12,1995,9,25,1,除权除息,3.0,0.0,2.0,0.0,,,,,,,
13,1995,9,27,2,送配股上市,,,,,,29707.150390625,35648.578125,43106.859375,51728.23828125,,
14,1996,5,27,1,除权除息,0.0,0.0,10.0,0.0,,,,,,,
15,1996,5,29,2,送配股上市,,,,,,35648.578125,71442.296875,51728.23828125,103456.5,,
16,1997,8,25,1,除权除息,2.0,0.0,5.0,0.0,,,,,,,
17,1997,8,27,2,送配股上市,,,,,,71442.296875,107163.3984375,103456.5,155184.703125,,
18,1999,10,18,1,除权除息,6.0,0.0,0.0,0.0,,,,,,,
19,2000,11,6,1,除权除息,0.0,8.0,0.0,3.0,,,,,,,
20,2000,12,8,2,送配股上市,,,,,,107163.3984375,139312.5,155184.703125,194582.203125,,
21,2001,10,15,5,股本变化,,,,,,139312.5,140936.203125,194582.203125,194582.203125,,
22,2002,7,23,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,
23,2003,9,29,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,
24,2007,6,18,1,除权除息,0.0,0.0,1.0,0.0,,,,,,,
25,2007,6,20,5,股本变化,,,,,,140936.203125,155018.78125,194582.203125,208675.828125,,
26,2007,12,28,5,股本变化,,,,,,155018.78125,170327.1875,208675.828125,229340.71875,,
27,2007,12,31,5,股本变化,,,,,,170327.1875,170325.578125,229340.71875,229340.71875,,
28,2008,1,21,5,股本变化,,,,,,170325.578125,175682.0625,229340.71875,229340.71875,,
29,2008,6,26,5,股本变化,,,,,,175682.0625,204652.046875,229340.71875,229340.71875,,
30,2008,6,27,5,股本变化,,,,,,204652.046875,214200.4375,229340.71875,238879.515625,,
31,2008,10,31,1,除权除息,0.33500000834465027,0.0,3.0,0.0,,,,,,,
32,2008,10,31,5,股本变化,,,,,,214200.4375,278460.5625,238879.515625,310543.375,,
33,2009,6,22,3,非流通股上市,,,,,,278460.5625,292367.46875,310543.375,310543.375,,
34,2009,6,30,5,股本变化,,,,,,292367.46875,292375.6875,310543.375,310543.375,,
35,2009,10,15,3,非流通股上市,,,,,,292375.6875,292411.4375,310543.375,310543.375,,
36,2010,6,28,3,非流通股上市,,,,,,292411.4375,310537.0,310543.375,310543.375,,
37,2010,6,29,5,股本变化,,,,,,310537.0,310537.0,310543.375,348501.375,,
38,2010,6,30,5,股本变化,,,,,,310537.0,310536.75,348501.375,348501.375,,
39,2010,12,31,5,股本变化,,,,,,310536.75,310535.84375,348501.375,348501.375,,
40,2011,6,30,5,股本变化,,,,,,310535.84375,310535.875,348501.375,348501.375,,
41,2011,8,5,5,股本变化,,,,,,310535.875,310535.875,348501.375,512335.03125,,
42,2012,10,19,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,
43,2013,6,20,1,除权除息,1.7000000476837158,0.0,6.0,0.0,,,,,,,
44,2013,6,20,2,送配股上市,,,,,,310535.875,496857.375,512335.03125,819736.0625,,
45,2013,11,12,5,股本变化,,,,,,496857.375,557590.1875,819736.0625,819736.0625,,
46,2014,1,9,5,股本变化,,,,,,557590.1875,557590.1875,819736.0625,952074.5625,,
47,2014,6,12,1,除权除息,1.600000023841858,0.0,2.0,0.0,,,,,,,
48,2014,6,12,9,转配股上市,,,,,,557590.1875,669105.875,952074.5625,1142489.5,,
49,2014,9,1,5,股本变化,,,,,,669105.875,983671.1875,1142489.5,1142489.5,,
50,2015,4,13,1,除权除息,1.7400000095367432,0.0,2.0,0.0,,,,,,,
51,2015,4,13,9,转配股上市,,,,,,983671.1875,1180405.5,1142489.5,1370987.375,,
52,2015,5,21,5,股本变化,,,,,,1180405.5,1180405.5,1370987.375,1430867.625,,
53,2016,5,23,5,股本变化,,,,,,1180405.5,1219265.0,1430867.625,1430867.625,,
54,2016,6,16,1,除权除息,1.5299999713897705,0.0,2.0,0.0,,,,,,,
55,2016,6,16,9,转配股上市,,,,,,1219265.0,1463118.0,1430867.625,1717041.125,,
56,2017,1,9,5,股本变化,,,,,,1463118.0,1691799.0,1717041.125,1717041.125,,
57,2017,7,21,1,除权除息,1.5800000429153442,0.0,0.0,0.0,,,,,,,
58,2017,12,31,5,股本变化,,,,,,1691799.0,1691798.375,1717041.125,1717041.125,,
59,2018,5,21,5,股本变化,,,,,,1691798.375,1717024.625,1717041.125,1717041.125,,
60,2018,7,12,1,除权除息,1.3600000143051147,0.0,0.0,0.0,,,,,,,
61,2019,6,26,1,除权除息,1.4500000476837158,0.0,0.0,0.0,,,,,,,
62,2019,6,30,5,股本变化,,,,,,1717024.625,1717024.625,1717041.125,1717041.125,,
63,2019,9,18,5,股本变化,,,,,,1717024.625,1940575.25,1717041.125,1940591.875,,
